"Você se considera capaz de entender informações sobre produtos financeiros, como empréstimos ou investimentos?","Com que frequência você busca informações ou tira dúvidas sobre finanças pessoais?","Que tipo de orientação financeira você gostaria de receber da cooperativa?","1. Qual é a sua idade (faixa etária) ?","2. Indique o gênero (sexo) no qual você se identifica:","3. Qual é o seu estado civil?","4. Possui dependentes?","5. Qual é o seu nível de escolaridade?","6.  Qual é a sua renda mensal individual, considerando todos os seus trabalhos e outras fontes de rendimento?","BEM_Q07","BEM_Q08","BEM_Q09","BEM_Q10","BEM_Q11","BEM_Q12","BEM_Q13","BEM_Q14","BEM_Q15","BEM_Q16","VIE_Q17","VIE_Q18","VIE_Q19","VIE_Q20","CON_Q21","CON_Q22","CON_Q23","CON_Q24","CON_Q25","COM_Q26","COM_Q27","COM_Q28","COM_Q29","COM_Q30","COM_Q31","COM_Q32","COM_Q33","COM_Q34","ATI_Q35","ATI_Q36","ATI_Q37","ATI_Q38","ATI_Q39","ATI_Q40","ATI_Q41","ATI_Q42","43. Suponha que você tenha R$ 100,00 em uma conta poupança a uma taxa de juros composto de 10% ao ano. Depois de 5 anos, qual o valor você terá na poupança? Considere que não tenha sido depositado nem retirado dinheiro.","44. Suponha que em 2027 sua renda dobrará e os preços de todos os bens também dobrarão. Em 2027, o quanto você será capaz de comprar com a sua renda?","45.Considerando-se um longo período (ex.: 10 anos), qual ativo, normalmente, oferece maior retorno?","46. Imagine que cinco amigos recebem uma doação de R$ 1.000,00 e precisam dividir o dinheiro igualmente entre eles. Quanto cada um vai ganhar?","47. Um investimento com alta taxa de retorno terá alta taxa de risco. Essa afirmação é:","48. Um empréstimo com duração de 15 anos normalmente exige pagamentos mensais maiores do que um empréstimo de 30 anos, mas o total de juros pagos ao final do empréstimo será menor. Essa afirmação é:","49. Suponha que você viu o mesmo televisor em duas lojas diferentes pelo preço inicial de R$ 1.000,00. A loja “A” oferece um desconto de R$ 150,00, enquanto a loja “B” oferece um desconto de 10%. Qual é a melhor alternativa?","50. Suponha que você realizou um empréstimo de R$ 10.000,00 para ser pago após um ano e o custo com os juros é R$ 600,00. A taxa de juros que você irá pagar nesse empréstimo é de:","score_bem_estar","score_autocontrole","score_contab","score_comport","score_ati","score_conhecimento","acerto_43","acerto_44","acerto_45","acerto_46","acerto_47","acerto_48","acerto_49","acerto_50"
"Concordo","Frequentemente","Informações sobre investimentos","De 18 a 28 anos","Feminino","Casado (a)","Não","Ensino médio completo","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,2,2,1,1,2,0,0,0,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,"Exatamente R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",14,16,19,35,30,8,1,1,1,1,1,1,1,1
"Concordo","Às vezes","Orientação para organização do orçamento","De 51 a 60 anos","Feminino","Casado (a)","Sim","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",3,3,2,2,2,3,0,2,2,2,2,1,2,2,2,2,3,1,1,0,3,NA,3,2,2,NA,NA,0,3,3,3,3,1,1,2,2,"Mais do que R$ 150,00.","Não sabe.","Ações.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",21,7,9,10,18,6,1,0,1,1,1,0,1,1
"Concordo","Raramente","Orientação para organização do orçamento","De 29 a 39 anos","Feminino","Solteiro (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",4,4,0,4,1,4,4,4,0,4,0,0,0,0,3,3,3,0,0,0,0,0,4,2,0,0,0,0,3,4,0,2,2,1,1,1,"Não sabe.","Exatamente o mesmo.","Poupança.","200","Não sabe","Falsa","Comprar na loja A.","6% a.a.",29,0,9,6,14,4,0,1,0,1,0,0,1,1
"Discordo","Às vezes","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Separado (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",4,3,3,3,3,3,2,3,3,3,1,1,2,3,1,3,1,1,1,2,NA,NA,NA,2,2,2,0,2,1,4,3,2,2,1,2,2,"Mais do que R$ 150,00.","Mais do que hoje.","Não sabe.","200","Verdadeira","Não sabe","Comprar na loja A.","0,3% a.a.",30,7,7,10,17,4,1,0,0,1,1,0,1,0
"Concordo totalmente","Raramente","Informações sobre investimentos","De 51 a 60 anos","Masculino","Separado (a)","Sim","Ensino superior completo","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",1,1,0,1,4,2,0,1,3,3,3,3,3,3,3,4,3,3,3,2,3,3,4,4,3,3,3,3,3,3,4,4,1,4,3,4,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Falsa","Verdadeira","Comprar na loja A.","6% a.a.",16,12,16,28,26,7,1,1,1,1,0,1,1,1
"Discordo","Às vezes","Informações sobre investimentos","De 29 a 39 anos","Feminino","Casado (a)","Não","Pós graduação.","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,0,2,2,2,0,0,0,0,1,2,1,3,2,1,1,1,2,0,4,0,4,4,2,4,4,4,2,4,2,3,3,1,2,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja B.","6% a.a.",11,7,7,26,19,6,1,0,1,1,1,1,0,1
"Discordo","Nunca","Informações sobre investimentos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino fundamental incompleto","Até 1 salário mínimo – Até R$ 1.518,00.",4,3,2,4,4,4,2,4,1,4,0,0,0,1,1,2,1,1,1,0,0,0,NA,2,NA,0,0,0,3,3,1,1,1,1,1,2,"Exatamente R$ 150,00.","Mais do que hoje.","Não sabe.","1000","Falsa","Verdadeira","Comprar na loja A.","0,3% a.a.",32,1,6,2,13,3,1,0,0,0,0,1,1,0
"Nem concordo e nem discordo","Às vezes","Orientação sobre crédito e empréstimos","De 51 a 60 anos","Feminino","Casado (a)","Sim","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,1,0,3,4,1,3,1,2,2,1,0,2,3,1,0,0,1,0,2,0,3,2,0,NA,0,3,3,2,3,1,1,1,2,1,"Não sabe.","Exatamente o mesmo.","Não sabe.","1000","Falsa","Falsa","Comprar na loja B.","0,6% a.a.",20,5,5,10,14,2,0,1,0,0,0,0,0,1
"Concordo","Raramente","Orientação para organização do orçamento","Igual ou superior a 61 anos","Feminino","Separado (a)","Não","Pós graduação.","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",3,4,2,3,2,4,2,4,3,3,2,1,2,2,3,0,1,1,1,0,4,0,2,3,NA,0,0,0,2,2,2,1,1,1,2,2,"Mais do que R$ 150,00.","Não sabe.","Não sabe.","200","Não sabe","Não sabe","Comprar na loja A.","6% a.a.",30,7,6,9,13,4,1,0,0,1,0,0,1,1
"Concordo","Às vezes","Orientação para organização do orçamento","De 40 a 50 anos","Feminino","Solteiro (a)","Não","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",1,2,0,1,0,0,1,0,0,1,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,4,3,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Falsa","Verdadeira","Comprar na loja B.","6% a.a.",6,13,20,34,28,5,1,0,1,1,0,1,0,1
"Discordo","Raramente","Informações sobre investimentos","De 51 a 60 anos","Feminino","Solteiro (a)","Não","Pós graduação.","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",1,1,1,1,0,1,0,0,0,4,4,3,3,4,4,3,4,1,4,NA,NA,3,4,4,3,4,3,3,3,3,3,3,1,3,3,2,"Menos do que R$ 150,00.","Mais do que hoje.","Não sabe.","200","Não sabe","Verdadeira","Comprar na loja A.","6% a.a.",9,14,16,24,21,5,1,0,0,1,0,1,1,1
"Concordo","Raramente","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Casado (a)","Não","Especialização, mestrado ou doutorado.","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,2,2,2,2,3,1,1,0,2,3,3,2,4,3,0,2,0,2,0,4,3,4,4,0,2,2,0,4,4,4,4,0,2,3,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Poupança.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",17,12,7,19,24,6,1,1,0,1,1,0,1,1
"Concordo totalmente","Sempre","Dicas de economia e controle de gastos","De 29 a 39 anos","Masculino","Solteiro (a)","Não","Especialização, mestrado ou doutorado.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",3,1,1,0,0,3,1,0,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,"Mais do que R$ 150,00.","Exatamente o mesmo.","Não sabe.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",13,16,16,36,28,7,1,1,0,1,1,1,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Solteiro (a)","Sim","Ensino superior completo","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,3,1,2,1,3,1,2,3,2,3,3,3,3,3,3,3,1,2,2,3,0,2,4,NA,NA,2,2,3,3,3,2,1,1,3,2,"Mais do que R$ 150,00.","Menos do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",20,12,12,15,18,7,1,0,1,1,1,1,1,1
"Nem concordo e nem discordo","Às vezes","Planejamento para aposentadoria","Igual ou superior a 61 anos","Feminino","Viúvo (a)","Não","Pós graduação.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",3,2,0,2,0,0,1,0,0,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,2,3,3,1,4,4,3,"Não sabe.","Não sabe.","Não sabe.","Não sabe.","Não sabe","Não sabe","Não sabe.","0,6% a.a.",9,16,20,32,24,1,0,0,0,0,0,0,0,1
"Nem concordo e nem discordo","Frequentemente","Dicas de economia e controle de gastos","De 40 a 50 anos","Feminino","Casado (a)","Não","Ensino médio completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",4,3,1,3,2,4,1,2,1,2,3,2,2,3,3,2,2,3,3,2,3,2,4,4,2,3,2,2,3,3,2,3,1,2,2,2,"Não sabe.","Menos do que hoje.","Ações.","200","Não sabe","Não sabe","Não sabe.","0,6% a.a.",23,10,13,24,18,3,0,0,1,1,0,0,0,1
"Nem concordo e nem discordo","Frequentemente","Ajuda para sair de dívidas","De 51 a 60 anos","Feminino","Solteiro (a)","Não","Especialização, mestrado ou doutorado.","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",4,4,2,4,4,4,2,4,4,3,2,0,1,2,3,0,1,1,0,2,0,0,4,2,0,0,0,0,2,3,2,0,1,1,2,2,"Exatamente R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Não sabe","Não sabe.","0,6% a.a.",35,5,5,8,13,6,1,1,1,1,1,0,0,1
"Concordo","Frequentemente","Informações sobre investimentos","De 51 a 60 anos","Feminino","Casado (a)","Sim","Ensino médio completo","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,2,0,2,2,2,0,2,0,2,0,2,3,1,4,4,4,4,3,4,4,2,4,4,2,2,2,2,3,4,3,3,2,2,2,2,"Mais do que R$ 150,00.","Menos do que hoje.","Não sabe.","200","Verdadeira","Não sabe","Comprar na loja A.","0,3% a.a.",14,6,19,26,21,4,1,0,0,1,1,0,1,0
"Concordo","Frequentemente","Informações sobre investimentos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino médio incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,0,3,0,2,2,1,3,1,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4,2,2,2,4,4,4,3,2,2,4,4,"Exatamente R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","0,3% a.a.",17,14,15,28,27,7,1,1,1,1,1,1,1,0
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,0,2,1,1,2,2,2,0,0,4,4,4,4,4,0,3,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,3,4,2,"Menos do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Não sabe","Não sabe.","6% a.a.",13,16,15,32,25,5,1,0,1,1,1,0,0,1
"Concordo","Frequentemente","Orientação para organização do orçamento","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",2,3,4,2,0,1,1,0,0,2,3,2,2,3,3,2,3,2,3,2,4,NA,4,4,4,2,2,2,3,2,2,3,1,2,2,2,"Menos do que R$ 150,00.","Não sabe.","Poupança.","200","Verdadeira","Verdadeira","Comprar na loja A.","3% a.a.",15,10,13,24,17,5,1,0,0,1,1,1,1,0
"Concordo","Raramente","Orientação para organização do orçamento","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",1,4,3,0,2,4,1,1,4,4,1,2,3,2,2,0,1,0,0,0,NA,0,4,NA,0,NA,0,0,3,3,1,0,2,0,0,0,"Mais do que R$ 150,00.","Menos do que hoje.","Não sabe.","1000","Não sabe","Não sabe","Comprar na loja A.","0,6% a.a.",24,8,3,4,9,3,1,0,0,0,0,0,1,1
"Nem concordo e nem discordo","Às vezes","Informações sobre investimentos","De 18 a 28 anos","Feminino","Casado (a)","Não","Pós graduação.","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,4,3,2,2,2,3,3,1,2,2,1,1,2,3,3,3,0,2,0,NA,NA,4,4,NA,0,0,0,4,4,4,2,2,1,0,0,"Não sabe.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",25,6,11,8,17,7,0,1,1,1,1,1,1,1
"Nem concordo e nem discordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino médio completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,4,0,1,0,2,1,2,2,4,1,3,2,2,4,3,2,3,1,0,0,0,4,2,NA,0,0,NA,4,4,2,3,1,1,1,1,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",19,8,13,6,17,8,1,1,1,1,1,1,1,1
"Concordo totalmente","Às vezes","Informações sobre investimentos","De 40 a 50 anos","Masculino","Casado (a)","Sim","Ensino superior incompleto","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",3,3,3,3,3,1,2,2,3,4,3,1,3,3,3,3,3,0,2,3,4,NA,3,4,3,2,NA,NA,4,4,4,4,1,1,1,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","0,6% a.a.",27,10,11,19,22,8,1,1,1,1,1,1,1,1
"Concordo","Raramente","Orientação sobre crédito e empréstimos","De 29 a 39 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",1,2,2,2,2,2,2,2,0,2,4,3,3,3,3,4,3,3,4,2,3,3,4,4,3,4,4,4,4,4,4,4,1,3,2,4,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","0,6% a.a.",17,13,17,31,26,8,1,1,1,1,1,1,1,1
"Nem concordo e nem discordo","Às vezes","Informações sobre investimentos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino médio completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,3,2,2,1,2,4,2,4,3,4,4,1,1,3,2,3,0,2,2,4,NA,4,4,3,NA,2,4,4,4,3,4,0,3,4,4,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","5000","Verdadeira","Verdadeira","Comprar na loja A.","0,6% a.a.",26,10,10,23,26,6,1,0,1,0,1,1,1,1
"Concordo totalmente","Sempre","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Sim","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",2,1,0,3,2,2,1,1,1,2,3,4,3,4,4,4,4,4,2,3,4,4,3,4,2,3,3,3,4,2,3,3,0,2,3,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Falsa","Verdadeira","Comprar na loja A.","0,6% a.a.",15,14,18,29,19,6,1,0,1,1,0,1,1,1
"Nem concordo e nem discordo","Raramente","Informações sobre investimentos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,0,1,2,1,0,0,0,1,2,3,3,3,3,2,3,1,2,2,NA,NA,4,4,0,3,4,4,4,4,3,3,2,3,3,3,"Exatamente R$ 150,00.","Mais do que hoje.","Ações.","200","Não sabe","Não sabe","Comprar na loja B.","6% a.a.",10,11,11,21,25,4,1,0,1,1,0,0,0,1
"Concordo","Às vezes","Planejamento para aposentadoria","De 18 a 28 anos","Feminino","Solteiro (a)","Sim","Outros","Nenhum rendimento – Não possuo renda.",2,2,1,2,2,1,2,2,1,1,2,3,2,3,3,3,3,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,0,2,3,4,"Exatamente R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",16,10,14,29,21,8,1,1,1,1,1,1,1,1
"Nem concordo e nem discordo","Às vezes","Planejamento para aposentadoria","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","Até 1 salário mínimo – Até R$ 1.518,00.",4,3,2,1,2,4,2,1,1,2,2,1,2,3,1,1,2,2,2,0,4,NA,4,4,2,3,3,2,4,4,4,2,1,1,0,3,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Falsa","Comprar na loja A.","3% a.a.",22,8,8,22,19,5,1,0,1,1,1,0,1,0
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",4,4,0,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,4,4,4,0,4,4,4,4,4,4,2,0,0,0,0,"Exatamente R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",24,4,12,32,14,8,1,1,1,1,1,1,1,1
"Concordo","Frequentemente","Informações sobre investimentos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","Não sei dizer ou prefiro não dizer",3,2,2,2,1,2,1,3,3,3,3,3,3,3,4,3,3,2,3,2,3,3,4,4,4,3,2,2,4,4,4,3,2,3,2,3,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",22,12,15,27,25,8,1,1,1,1,1,1,1,1
"Concordo","Às vezes","Informações sobre investimentos","De 18 a 28 anos","Feminino","Solteiro (a)","Sim","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",2,4,0,2,2,4,2,3,2,2,3,2,4,4,3,4,4,2,2,4,2,NA,3,2,4,3,2,2,4,0,2,4,2,2,2,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Não sabe","Não sabe","Comprar na loja A.","6% a.a.",23,13,15,22,18,6,1,1,1,1,0,0,1,1
"Concordo","Às vezes","Informações sobre investimentos","De 18 a 28 anos","Masculino","Casado (a)","Não","Ensino médio completo","De 3 a 5 salários mínimos – Entre R$ 4.555,00 e R$ 7.590,00",2,3,2,2,1,2,2,2,0,2,3,3,3,3,3,3,3,3,3,NA,3,2,4,3,3,3,3,3,3,3,1,1,1,1,1,1,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",18,12,15,24,12,6,1,0,1,1,1,0,1,1
"Concordo","Frequentemente","Planejamento para aposentadoria","De 18 a 28 anos","Masculino","Solteiro (a)","Sim","Especialização, mestrado ou doutorado.","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,2,2,3,2,2,1,3,3,1,2,1,1,1,1,1,1,1,0,0,2,NA,3,2,NA,0,0,0,4,2,4,2,2,2,2,3,"Menos do que R$ 150,00.","Mais do que hoje.","Ações.","100","Verdadeira","Verdadeira","Comprar na loja A.","0,6% a.a.",21,5,4,7,21,6,1,0,1,0,1,1,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,3,2,2,2,3,2,2,1,1,1,1,1,3,1,0,3,1,2,0,2,2,3,3,NA,NA,NA,NA,3,3,2,3,1,2,0,2,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Não sabe","Comprar na loja A.","0,6% a.a.",21,6,7,10,16,7,1,1,1,1,1,0,1,1
"Concordo","Às vezes","Dicas de economia e controle de gastos","De 29 a 39 anos","Feminino","Solteiro (a)","Sim","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",3,2,2,2,2,2,4,3,2,2,3,3,3,3,3,3,2,1,2,2,2,2,2,4,2,NA,NA,NA,3,3,1,1,1,1,1,2,"Não sabe.","Mais do que hoje.","Poupança.","200","Não sabe","Não sabe","Não sabe.","6% a.a.",24,12,11,14,13,2,0,0,0,1,0,0,0,1
"Nem concordo e nem discordo","Nunca","Orientação sobre crédito e empréstimos","De 18 a 28 anos","Feminino","Outros","Não","Ensino superior incompleto","Até 1 salário mínimo – Até R$ 1.518,00.",4,4,2,3,2,3,4,3,0,3,4,3,1,3,1,1,1,1,3,2,2,NA,4,4,2,NA,NA,0,3,2,3,1,2,1,3,2,"Não sabe.","Não sabe.","Poupança.","1000","Verdadeira","Verdadeira","Comprar na loja B.","0,6% a.a.",28,11,7,14,17,3,0,0,0,0,1,1,0,1
"Concordo","Às vezes","Ajuda para sair de dívidas","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",4,4,4,4,4,4,2,4,3,4,1,1,1,1,4,1,1,1,1,0,0,0,3,2,0,0,0,0,3,3,1,1,1,1,1,3,"Menos do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",37,4,8,5,14,7,1,1,1,1,1,0,1,1
"Nem concordo e nem discordo","Sempre","Dicas de economia e controle de gastos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino médio completo","Até 1 salário mínimo – Até R$ 1.518,00.",2,2,2,1,4,4,4,3,3,3,1,1,3,3,3,1,3,1,2,0,4,2,3,4,0,0,NA,0,3,3,2,2,1,1,4,4,"Mais do que R$ 150,00.","Não sabe.","Não sabe.","200","Verdadeira","Não sabe","Comprar na loja B.","0,6% a.a.",28,8,10,13,20,4,1,0,0,1,1,0,0,1
"Concordo totalmente","Frequentemente","Planejamento para aposentadoria","De 40 a 50 anos","Masculino","Casado (a)","Sim","Pós graduação.","Mais de 10 salários mínimos - Acima de R$ 15.181,00",1,0,4,0,0,1,1,2,2,1,3,1,1,3,1,1,3,1,1,NA,NA,0,3,2,0,NA,2,2,3,3,3,1,3,1,1,1,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","6% a.a.",12,8,7,9,16,7,1,0,1,1,1,1,1,1
"Nem concordo e nem discordo","Raramente","Dicas de economia e controle de gastos","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","Até 1 salário mínimo – Até R$ 1.518,00.",3,2,4,3,2,2,1,3,1,1,3,2,2,3,3,3,1,3,2,NA,2,2,4,4,3,2,2,NA,4,3,1,1,1,1,1,1,"Mais do que R$ 150,00.","Mais do que hoje.","Não sabe.","200","Verdadeira","Falsa","Comprar na loja A.","6% a.a.",22,10,12,19,13,5,1,0,0,1,1,0,1,1
"Concordo totalmente","Sempre","Informações sobre investimentos","De 18 a 28 anos","Feminino","Solteiro (a)","Não","Ensino superior incompleto","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2,"Mais do que R$ 150,00.","Mais do que hoje.","Ações.","200","Falsa","Não sabe","Comprar na loja A.","6% a.a.",3,16,20,36,26,5,1,0,1,1,0,0,1,1
"Concordo totalmente","Sempre","Orientação para organização do orçamento","De 18 a 28 anos","Masculino","Solteiro (a)","Não","Ensino superior incompleto","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",2,4,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,4,0,4,0,3,3,2,2,NA,2,2,3,1,1,2,2,2,2,"Mais do que R$ 150,00.","Não sabe.","Ações.","200","Verdadeira","Verdadeira","Comprar na loja A.","0,6% a.a.",15,8,12,16,15,7,1,0,1,1,1,1,1,1
"Concordo","Nunca","Nenhuma","De 40 a 50 anos","Feminino","Casado (a)","Sim","Ensino superior incompleto","De 2 a 3 salários mínimos – Entre R$ 3.036,01 e R$ 4.554,00.",0,3,0,0,3,0,0,0,0,4,3,4,2,4,4,0,1,1,3,0,4,2,4,4,2,NA,2,0,3,3,3,1,1,1,1,1,"Mais do que R$ 150,00.","Exatamente o mesmo.","Ações.","200","Não sabe","Verdadeira","Comprar na loja A.","0,3% a.a.",10,13,9,18,14,6,1,1,1,1,0,1,1,0
"Concordo","Sempre","Informações sobre investimentos","De 40 a 50 anos","Feminino","Solteiro (a)","Não","Ensino médio completo","De 1 a 2 salários mínimos – Entre R$ 1.518,01 e R$ 3.036,00.",2,0,2,1,3,1,0,2,2,4,1,3,3,3,3,3,3,3,3,2,4,3,4,4,4,4,2,4,4,1,1,1,1,1,3,2,"Mais do que R$ 150,00.","Não sabe.","Ações.","100","Falsa","Falsa","Comprar na loja A.","3% a.a.",17,10,15,31,14,3,1,0,1,0,0,0,1,0
"Concordo","Nunca","Informações sobre investimentos","De 40 a 50 anos","Masculino","Casado (a)","Sim","Ensino superior incompleto","De 5 a 10 salários mínimos - Entre R$ 7.591,00 e R$ 15.180,00",1,2,0,0,1,3,0,0,4,3,3,3,3,3,3,0,3,0,3,0,4,2,4,4,3,4,4,0,3,3,4,4,3,1,1,4,"Exatamente R$ 150,00.","Mais do que hoje.","Ações.","1000","Verdadeira","Falsa","Comprar na loja A.","3% a.a.",14,12,9,25,23,4,1,0,1,0,1,0,1,0
